Time,Date,Plot
13:58:05,7/19/24,-67
13:58:05,7/19/24,4
13:58:05,7/19/24,-17
13:58:05,7/19/24,-48
13:58:06,7/19/24,-26
13:58:06,7/19/24,19
13:58:06,7/19/24,9
13:58:06,7/19/24,53
13:58:06,7/19/24,-8
13:58:07,7/19/24,-13
13:58:07,7/19/24,-39
13:58:07,7/19/24,99
13:58:07,7/19/24,18
13:58:07,7/19/24,78
13:58:08,7/19/24,102
13:58:08,7/19/24,67
13:58:08,7/19/24,69
13:58:08,7/19/24,20
13:58:08,7/19/24,25
13:58:09,7/19/24,118
13:58:09,7/19/24,-16
13:58:09,7/19/24,27
13:58:09,7/19/24,13
13:58:09,7/19/24,6
13:58:10,7/19/24,-2
13:58:10,7/19/24,10
13:58:10,7/19/24,22
13:58:10,7/19/24,32
13:58:10,7/19/24,14
13:58:11,7/19/24,87
13:58:11,7/19/24,117
13:58:11,7/19/24,30
13:58:11,7/19/24,100
13:58:11,7/19/24,60
13:58:12,7/19/24,105
13:58:12,7/19/24,27
13:58:12,7/19/24,-38
13:58:12,7/19/24,68
13:58:12,7/19/24,-18
13:58:13,7/19/24,20
13:58:13,7/19/24,-8
13:58:13,7/19/24,15
13:58:13,7/19/24,-22
13:58:13,7/19/24,51
13:58:14,7/19/24,-3
13:58:14,7/19/24,74
13:58:14,7/19/24,10
13:58:14,7/19/24,37
13:58:14,7/19/24,59
13:58:15,7/19/24,20
13:58:15,7/19/24,14
13:58:15,7/19/24,67
13:58:15,7/19/24,22
13:58:15,7/19/24,38
13:58:16,7/19/24,39
13:58:16,7/19/24,65
13:58:16,7/19/24,17
13:58:16,7/19/24,14
13:58:16,7/19/24,21
13:58:17,7/19/24,24
13:58:17,7/19/24,24
13:58:17,7/19/24,69
13:58:17,7/19/24,60
13:58:17,7/19/24,5
13:58:18,7/19/24,58
13:58:18,7/19/24,82
13:58:18,7/19/24,18
13:58:18,7/19/24,85
13:58:18,7/19/24,49
13:58:19,7/19/24,-19
13:58:19,7/19/24,91
13:58:19,7/19/24,-13
13:58:19,7/19/24,16
13:58:19,7/19/24,45
13:58:20,7/19/24,48
13:58:20,7/19/24,110
13:58:20,7/19/24,67
13:58:20,7/19/24,115
13:58:20,7/19/24,-6
13:58:21,7/19/24,56
13:58:21,7/19/24,52
13:58:21,7/19/24,137
13:58:21,7/19/24,91
13:58:21,7/19/24,33
13:58:22,7/19/24,-14
13:58:22,7/19/24,15
13:58:22,7/19/24,43
13:58:22,7/19/24,46
13:58:22,7/19/24,22
